,fips_code,precip,temp_min,temp_max,temp_mean
0,17073,39.370000000000005,15.2,74.1,51.36666666666667
1,17107,42.2,20.5,75.6,53.833333333333336
2,17143,43.64,18.8,75.4,53.18333333333334
3,17163,37.68,25.1,78.1,56.84166666666667
4,19019,29.43,9.8,73.1,48.35
5,19047,28.34,12.6,74.0,50.541666666666664
6,20065,19.24,22.9,78.6,54.59166666666667
7,20113,30.12,24.8,80.3,57.224999999999994
8,27013,25.05,9.9,73.9,47.800000000000004
9,27111,22.35,5.4,72.6,44.449999999999996
